Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Goalkeeper,Top Scorer,GF by Top Scorer,GF/90,GA/90,GD/90,GF by Top Scorer/90
3, Chelsea 2018/2019,38,21,9,8,63,39,24,72,1.89,58.6,36.4,22.2,0.58,"40,437",Kepa Arrizabalaga,Eden Hazard , 16,1.66 ,1.03 ,0.63 ,0.42 
4, Tottenham 2018/2019,38,23,2,13,67,39,28,71,1.87,54.9,47.1,7.8,0.2,"54,216",Hugo Lloris,Harry Kane , 17,1.76 ,1.03 ,0.74 ,0.45 
5, Arsenal 2018/2019,38,21,7,10,73,51,22,70,1.84,60.1,54.2,5.9,0.15,"59,899",Bernd Leno,PierrEmerick Aubameyang , 22,1.92 ,1.34 ,0.58 ,0.58 
6, Manchester Utd 2018/2019,38,19,9,10,65,54,11,66,1.74,61.4,50.6,10.8,0.29,"74,498",David de Gea,Paul Pogba , 13,1.71 ,1.42 ,0.29 ,0.34 
7, Wolves 2018/2019,38,16,9,13,47,46,1,57,1.5,52.1,42.1,10.1,0.26,"31,030",Rui Patrício,Raúl Jiménez , 13,1.24 ,1.21 ,0.03 ,0.34 
8, Everton 2018/2019,38,15,9,14,54,46,8,54,1.42,49.7,45.7,4,0.1,"39,043",Jordan Pickford,"Gylfi Sigurðsson, Richarlison ", 13,1.42 ,1.21 ,0.21 ,0.34 
9, LeicesteCity 2018/2019,38,15,7,16,51,48,3,52,1.37,52.4,43.7,8.7,0.23,"31,851",Kasper Schmeichel,Jamie Vardy , 18,1.34 ,1.26 ,0.08 ,0.47 
10, West Ham 2018/2019,38,15,7,16,52,55,-3,52,1.37,47.6,61.9,-14.3,-0.38,"58,336",Lukasz Fabianski,Marko Arnautovic , 10,1.37 ,1.45 ,-0.08 ,0.26 
11, Watford 2018/2019,38,14,8,16,52,59,-7,50,1.32,48.2,59.2,-11,-0.29,"20,016",Ben Foster,Gerard Deulofeu , 10,1.37 ,1.55 ,-0.18 ,0.26 
12, Crystal Palace 2018/2019,38,14,7,17,51,53,-2,49,1.29,47.6,50.1,-2.5,-0.07,"25,455",Vicente Guaita,Luka Milivojevic , 12,1.34 ,1.39 ,-0.05 ,0.32 
13, Newcastle Utd 2018/2019,38,12,9,17,42,48,-6,45,1.18,39.1,53.6,-14.5,-0.38,"51,121",Martin Dúbravka,Ayoze Pérez , 12,1.11 ,1.26 ,-0.16 ,0.32 
14, Bournemouth 2018/2019,38,13,6,19,56,70,-14,45,1.18,53.3,57.2,-3.9,-0.1,"10,532",Asmir Begovic,Callum Wilson , 14,1.47 ,1.84 ,-0.37 ,0.37 
15, Burnley 2018/2019,38,11,7,20,45,68,-23,40,1.05,44.4,62.1,-17.7,-0.47,"20,534","Tom Heaton, Joe Hart",Ashley Barnes , 12,1.18 ,1.79 ,-0.61 ,0.32 
16, Southampton 2018/2019,38,9,12,17,45,65,-20,39,1.03,46.9,55.1,-8.2,-0.22,"30,139",Alex McCarthy,"Danny Ings, James Ward Prowse ", 7,1.18 ,1.71 ,-0.53 ,0.18 
17, Brighton 2018/2019,38,9,9,20,35,60,-25,36,0.95,35.3,59.1,-23.8,-0.63,"30,426",Mathew Ryan,Glenn Murray , 13,0.92 ,1.58 ,-0.66 ,0.34 
18, CardifCity 2018/2019,38,10,4,24,34,69,-35,34,0.89,42.4,61.5,-19.1,-0.5,"31,408",NeiEtheridge,"Bobby Reid, VíctoCamarasa ", 5,0.89 ,1.82 ,-0.92 ,0.13 
19, Fulham 2018/2019,38,7,5,26,34,81,-47,26,0.68,41.3,68.2,-26.8,-0.71,"24,371",Sergio Rico,Aleksandar Mitrovic , 11,0.89 ,2.13 ,-1.24 ,0.29 
20, Huddersfield 2018/2019,38,3,7,28,22,76,-54,16,0.42,28.8,60.9,-32.2,-0.85,"23,203",Jonas Lössl,Karlan Grant , 4,0.58 ,2.00 ,-1.42 ,0.11 
1, Liverpool 2019/2020,38,32,3,3,85,33,52,99,2.61,68.9,37.7,31.2,0.82,"41,955",Alisson,Mohamed Salah , 19,2.24 ,0.87 ,1.37 ,0.50 
2, ManchesteCity 2019/2020,38,26,3,9,102,35,67,81,2.13,92,36.2,55.7,1.47,"37,097",Ederson,Raheem Sterling , 20,2.68 ,0.92 ,1.76 ,0.53 
3, Manchester Utd 2019/2020,38,18,12,8,66,36,30,66,1.74,62.2,37.7,24.5,0.64,"57,415",David de Gea,"Anthony Martial, Marcus Rashford ", 17,1.74 ,0.95 ,0.79 ,0.45 
4, Chelsea 2019/2020,38,20,6,12,69,54,15,66,1.74,69.2,38.6,30.6,0.81,"32,023",Kepa Arrizabalaga,Tammy Abraham , 15,1.82 ,1.42 ,0.39 ,0.39 
5, LeicesteCity 2019/2020,38,18,8,12,67,41,26,62,1.63,62.2,45.5,16.7,0.44,"25,312",Kasper Schmeichel,Jamie Vardy , 23,1.76 ,1.08 ,0.68 ,0.61 
6, Tottenham 2019/2020,38,16,11,11,61,47,14,59,1.55,47.9,54.2,-6.3,-0.17,"43,757",Hugo Lloris,Harry Kane , 18,1.61 ,1.24 ,0.37 ,0.47 
7, Wolves 2019/2020,38,15,14,9,51,40,11,59,1.55,54.1,38,16.1,0.42,"24,758",Rui Patrício,Raúl Jiménez , 17,1.34 ,1.05 ,0.29 ,0.45 
8, Arsenal 2019/2020,38,14,14,10,56,48,8,56,1.47,47,55.3,-8.3,-0.22,"47,589",Bernd Leno,PierrEmerick Aubameyang , 22,1.47 ,1.26 ,0.21 ,0.58 
9, Sheffield Utd 2019/2020,38,14,12,12,39,39,0,54,1.42,43,51,-7.9,-0.21,"24,370",Dean Henderson,"Lys Mousset, Oliver McBurnie ", 6,1.03 ,1.03 ,0.00 ,0.16 
10, Burnley 2019/2020,38,15,9,14,43,50,-7,54,1.42,47.4,49.8,-2.4,-0.06,"15,995",Nick Pope,Chris Wood , 14,1.13 ,1.32 ,-0.18 ,0.37 
11, Southampton 2019/2020,38,15,7,16,51,60,-9,52,1.37,56.1,52.8,3.3,0.09,"23,428",Alex McCarthy,Danny Ings , 22,1.34 ,1.58 ,-0.24 ,0.58 
12, Everton 2019/2020,38,13,10,15,44,56,-12,49,1.29,50.8,48.3,2.5,0.07,"28,848",Jordan Pickford,"DominiCalvert Lewin, Richarlison ", 13,1.16 ,1.47 ,-0.32 ,0.34 
13, Newcastle Utd 2019/2020,38,11,11,16,38,58,-20,44,1.16,35.5,65.6,-30.1,-0.79,"35,551",Martin Dúbravka,Jonjo Shelvey , 6,1.00 ,1.53 ,-0.53 ,0.16 
14, Crystal Palace 2019/2020,38,11,10,17,31,50,-19,43,1.13,35.8,57,-21.2,-0.56,"19,784",Vicente Guaita,Jordan Ayew , 9,0.82 ,1.32 ,-0.50 ,0.24 
15, Brighton 2019/2020,38,9,14,15,39,54,-15,41,1.08,45.4,55,-9.5,-0.25,"22,369",Mathew Ryan,Neal Maupay , 10,1.03 ,1.42 ,-0.39 ,0.26 
16, West Ham 2019/2020,38,10,9,19,49,62,-13,39,1.03,48.6,63.8,-15.2,-0.4,"44,155",Lukasz Fabianski,Michail Antonio , 10,1.29 ,1.63 ,-0.34 ,0.26 
17, Aston Villa 2019/2020,38,9,8,21,41,67,-26,35,0.92,44.3,67.8,-23.5,-0.62,"28,505",Tom Heaton,Jack Grealish , 8,1.08 ,1.76 ,-0.68 ,0.21 
18, Bournemouth 2019/2020,38,9,7,22,40,65,-25,34,0.89,44.8,62.3,-17.5,-0.46,"7,745",Aaron Ramsdale,Callum Wilson , 8,1.05 ,1.71 ,-0.66 ,0.21 
19, Watford 2019/2020,38,8,10,20,36,64,-28,34,0.89,48.9,58.1,-9.3,-0.24,"15,353",Ben Foster,Troy Deeney , 10,0.95 ,1.68 ,-0.74 ,0.26 
20, NorwicCity 2019/2020,38,5,6,27,26,75,-49,21,0.55,37,66.5,-29.5,-0.78,"19,913",Tim Krul,Teemu Pukki , 11,0.68 ,1.97 ,-1.29 ,0.29 
1, ManchesteCity 2020/2021,38,27,5,6,83,32,51,86,2.26,68.2,30.2,38,1,526,Ederson,Ilkay Gündogan , 13,2.18 ,0.84 ,1.34 ,0.34 
2, Manchester Utd 2020/2021,38,21,11,6,73,44,29,74,1.95,60.1,41.4,18.6,0.49,526,David de Gea,Bruno Fernandes , 18,1.92 ,1.16 ,0.76 ,0.47 
3, Liverpool 2020/2021,38,20,9,9,68,42,26,69,1.82,67.5,43,24.5,0.65,837,Alisson,Mohamed Salah , 22,1.79 ,1.11 ,0.68 ,0.58 
4, Chelsea 2020/2021,38,19,10,9,58,36,22,67,1.76,62.4,30.3,32.1,0.85,526,Edouard Mendy,Jorginho , 7,1.53 ,0.95 ,0.58 ,0.18 
5, LeicesteCity 2020/2021,38,20,6,12,68,50,18,66,1.74,55.8,46,9.8,0.26,421,Kasper Schmeichel,Jamie Vardy , 15,1.79 ,1.32 ,0.47 ,0.39 
6, West Ham 2020/2021,38,19,8,11,62,47,15,65,1.71,55.4,48.7,6.7,0.18,632,Lukasz Fabianski,"Michail Antonio, Tomá? Soucek ", 10,1.63 ,1.24 ,0.39 ,0.26 
7, Tottenham 2020/2021,38,18,8,12,68,45,23,62,1.63,53.1,49.1,4,0.1,632,Hugo Lloris,Harry Kane , 23,1.79 ,1.18 ,0.61 ,0.61 
8, Arsenal 2020/2021,38,18,7,13,55,39,16,61,1.61,51.8,43,8.8,0.23,632,Bernd Leno,Alexandre Lacazette , 13,1.45 ,1.03 ,0.42 ,0.34 
9, Leeds United 2020/2021,38,18,5,15,62,54,8,59,1.55,55.6,57.9,-2.2,-0.06,421,Illan Meslier,Patrick Bamford , 17,1.63 ,1.42 ,0.21 ,0.45 
10, Everton 2020/2021,38,17,8,13,47,48,-1,59,1.55,45.7,50.1,-4.5,-0.12,368,Jordan Pickford,DominiCalvert Lewin , 16,1.24 ,1.26 ,-0.03 ,0.42 
11, Aston Villa 2020/2021,38,16,7,15,55,46,9,55,1.45,52.5,51.1,1.4,0.04,526,Emiliano Martínez,Ollie Watkins , 14,1.45 ,1.21 ,0.24 ,0.37 
12, Newcastle Utd 2020/2021,38,12,9,17,46,62,-16,45,1.18,43.4,58.3,-14.9,-0.39,526,Karl Darlow,Callum Wilson , 12,1.21 ,1.63 ,-0.42 ,0.32 
13, Wolves 2020/2021,38,12,9,17,36,52,-16,45,1.18,36.5,49.5,-13,-0.34,237,Rui Patrício,"Rúben Neves, Pedro Neto ", 5,0.95 ,1.37 ,-0.42 ,0.13 
14, Crystal Palace 2020/2021,38,12,8,18,41,66,-25,44,1.16,34.1,58.2,-24.2,-0.64,447,Vicente Guaita,Wilfried Zaha , 11,1.08 ,1.74 ,-0.66 ,0.29 
15, Southampton 2020/2021,38,12,7,19,47,68,-21,43,1.13,41.2,53.1,-11.8,-0.31,526,Alex McCarthy,Danny Ings , 12,1.24 ,1.79 ,-0.55 ,0.32 
16, Brighton 2020/2021,38,9,14,15,40,46,-6,41,1.08,50.9,35.3,15.6,0.41,523,Robert Sánchez,Neal Maupay , 8,1.05 ,1.21 ,-0.16 ,0.21 
17, Burnley 2020/2021,38,10,9,19,33,55,-22,39,1.03,39.3,54.7,-15.4,-0.4,178,Nick Pope,Chris Wood , 12,0.87 ,1.45 ,-0.58 ,0.32 
18, Fulham 2020/2021,38,5,13,20,27,53,-26,28,0.74,40.5,52.6,-12.1,-0.32,211,Alphonse Areola,Bobby Reid , 5,0.71 ,1.39 ,-0.68 ,0.13 
19, West Brom 2020/2021,38,5,11,22,35,76,-41,26,0.68,35.8,67.9,-32,-0.84,283,Sam Johnstone,Matheus Pereira , 11,0.92 ,2.00 ,-1.08 ,0.29 
20, Sheffield Utd 2020/2021,38,7,2,29,20,63,-43,23,0.61,32.6,62.2,-29.6,-0.78,263,Aaron Ramsdale,David McGoldrick , 8,0.53 ,1.66 ,-1.13 ,0.21 
1, ManchesteCity 2021/2022,38,29,6,3,99,26,73,93,2.45,88.7,24.6,64,1.68,"52,774",Ederson,Kevin De Bruyne , 15,2.61 ,0.68 ,1.92 ,0.39 
2, Liverpool 2021/2022,38,28,8,2,94,26,68,92,2.42,88.7,33.8,54.9,1.45,"53,352",Alisson,Mohamed Salah , 23,2.47 ,0.68 ,1.79 ,0.61 
3, Chelsea 2021/2022,38,21,11,6,76,33,43,74,1.95,63.4,33.2,30.1,0.79,"36,443",Edouard Mendy,Mason Mount , 11,2.00 ,0.87 ,1.13 ,0.29 
4, Tottenham 2021/2022,38,22,5,11,69,40,29,71,1.87,61.2,39.3,21.9,0.58,"56,523",Hugo Lloris,Son Heung min , 23,1.82 ,1.05 ,0.76 ,0.61 
5, Arsenal 2021/2022,38,22,3,13,61,48,13,69,1.82,60.5,45.7,14.9,0.39,"59,665",Aaron Ramsdale,Bukayo Saka , 11,1.61 ,1.26 ,0.34 ,0.29 
6, Manchester Utd 2021/2022,38,16,10,12,57,57,0,58,1.53,55.8,53,2.8,0.07,"73,150",David de Gea,Cristiano Ronaldo , 18,1.50 ,1.50 ,0.00 ,0.47 
7, West Ham 2021/2022,38,16,8,14,60,51,9,56,1.47,51.4,53.5,-2.1,-0.06,"58,370",Lukasz Fabianski,Jarrod Bowen , 12,1.58 ,1.34 ,0.24 ,0.32 
8, LeicesteCity 2021/2022,38,14,10,14,62,59,3,52,1.37,47.8,59.3,-11.5,-0.3,"32,493",Kasper Schmeichel,Jamie Vardy , 15,1.63 ,1.55 ,0.08 ,0.39 
9, Brighton 2021/2022,38,12,15,11,42,44,-2,51,1.34,46.2,42.9,3.3,0.09,"30,966",Robert Sánchez,"Leandro Trossard, Neal Maupay ", 8,1.11 ,1.16 ,-0.05 ,0.21 
10, Wolves 2021/2022,38,15,6,17,38,43,-5,51,1.34,37.5,56.9,-19.4,-0.51,"30,841",José Sá,Raúl Jiménez , 6,1.00 ,1.13 ,-0.13 ,0.16 
11, Newcastle Utd 2021/2022,38,13,10,15,44,62,-18,49,1.29,38.1,57.1,-19,-0.5,"51,487",Martin Dúbravka,Callum Wilson , 8,1.16 ,1.63 ,-0.47 ,0.21 
12, Crystal Palace 2021/2022,38,11,15,12,50,46,4,48,1.26,46.4,40.7,5.7,0.15,"24,588",Vicente Guaita,Wilfried Zaha , 14,1.32 ,1.21 ,0.11 ,0.37 
13, Brentford 2021/2022,38,13,7,18,48,56,-8,46,1.21,45.8,48.5,-2.7,-0.07,"16,918",David Raya,Ivan Toney , 12,1.26 ,1.47 ,-0.21 ,0.32 
14, Aston Villa 2021/2022,38,13,6,19,52,54,-2,45,1.18,44,49,-4.9,-0.13,"41,681",Emiliano Martínez,Ollie Watkins , 11,1.37 ,1.42 ,-0.05 ,0.29 
15, Southampton 2021/2022,38,9,13,16,43,67,-24,40,1.05,44.8,60,-15.2,-0.4,"30,134",Fraser Forster,James Ward Prowse , 10,1.13 ,1.76 ,-0.63 ,0.26 
16, Everton 2021/2022,38,11,6,21,43,66,-23,39,1.03,41.2,55.4,-14.2,-0.37,"38,446",Jordan Pickford,Richarlison , 10,1.13 ,1.74 ,-0.61 ,0.26 
17, Leeds United 2021/2022,38,9,11,18,42,79,-37,38,1,44.4,67.8,-23.5,-0.62,"36,308",Illan Meslier,Raphinha , 11,1.11 ,2.08 ,-0.97 ,0.29 
18, Burnley 2021/2022,38,7,14,17,34,53,-19,35,0.92,39.7,57.1,-17.4,-0.46,"19,278",Nick Pope,MaxweCornet , 9,0.89 ,1.39 ,-0.50 ,0.24 
19, Watford 2021/2022,38,6,5,27,34,77,-43,23,0.61,40,64.5,-24.5,-0.64,"20,614",Ben Foster,Emmanuel Dennis , 10,0.89 ,2.03 ,-1.13 ,0.26 
20, NorwicCity 2021/2022,38,5,7,26,23,84,-61,22,0.58,32.3,75.5,-43.2,-1.14,"26,836",Tim Krul,Teemu Pukki , 11,0.61 ,2.21 ,-1.61 ,0.29 
1, ManchesteCity 2022/2023,38,28,5,5,94,33,61,89,2.34,78.6,32.1,46.5,1.22,"53,249",Ederson,Erling Haaland , 36,2.47 ,0.87 ,1.61 ,0.95 
2, Arsenal 2022/2023,38,26,6,6,88,43,45,84,2.21,71.9,42,29.9,0.79,"60,191",Aaron Ramsdale,"Martin Ødegaard, Gabriel Martinelli ", 15,2.32 ,1.13 ,1.18 ,0.39 
3, Manchester Utd 2022/2023,38,23,6,9,58,43,15,75,1.97,67.7,50.4,17.3,0.45,"73,671",David de Gea,Marcus Rashford , 17,1.53 ,1.13 ,0.39 ,0.45 
4, Newcastle Utd 2022/2023,38,19,14,5,68,33,35,71,1.87,72,39.6,32.4,0.85,"52,127",Nick Pope,Callum Wilson , 18,1.79 ,0.87 ,0.92 ,0.47 
5, Liverpool 2022/2023,38,19,10,9,75,47,28,67,1.76,72.6,50.9,21.7,0.57,"53,163",Alisson,Mohamed Salah , 19,1.97 ,1.24 ,0.74 ,0.50 
6, Brighton 2022/2023,38,18,8,12,72,53,19,62,1.63,73.3,50.2,23.1,0.61,"31,477",Robert Sánchez,Alexis Mac Allister , 10,1.89 ,1.39 ,0.50 ,0.26 
7, Aston Villa 2022/2023,38,18,7,13,51,46,5,61,1.61,50.2,52.5,-2.2,-0.06,"39,485",Emiliano Martínez,Ollie Watkins , 15,1.34 ,1.21 ,0.13 ,0.39 
8, Tottenham 2022/2023,38,18,6,14,70,63,7,60,1.58,57.1,49.7,7.4,0.2,"61,585",Hugo Lloris,Harry Kane , 30,1.84 ,1.66 ,0.18 ,0.79 
9, Brentford 2022/2023,38,15,14,9,58,46,12,59,1.55,56.8,49.9,6.8,0.18,"17,078",David Raya,Ivan Toney , 20,1.53 ,1.21 ,0.32 ,0.53 
10, Fulham 2022/2023,38,15,7,16,55,53,2,52,1.37,46.2,63.8,-17.6,-0.46,"23,746",Bernd Leno,Aleksandar Mitrovic , 14,1.45 ,1.39 ,0.05 ,0.37 
11, Crystal Palace 2022/2023,38,11,12,15,40,49,-9,45,1.18,39.3,48.1,-8.8,-0.23,"24,952",Vicente Guaita,EberechEze , 10,1.05 ,1.29 ,-0.24 ,0.26 
12, Chelsea 2022/2023,38,11,11,16,38,47,-9,44,1.16,49.5,52.5,-3,-0.08,"40,002",Kepa Arrizabalaga,Kai Havertz , 7,1.00 ,1.24 ,-0.24 ,0.18 
13, Wolves 2022/2023,38,11,8,19,31,58,-27,41,1.08,36.8,59.9,-23.1,-0.61,"31,482",José Sá,"Rúben Neves, Daniel Podence ", 6,0.82 ,1.53 ,-0.71 ,0.16 
14, West Ham 2022/2023,38,11,7,20,42,55,-13,40,1.05,49.2,53,-3.9,-0.1,"62,462",Lukasz Fabianski,"Saïd Benrahma, Jarrod Bowen ", 6,1.11 ,1.45 ,-0.34 ,0.16 
15, Bournemouth 2022/2023,38,11,6,21,37,71,-34,39,1.03,38.6,63.9,-25.3,-0.67,"10,362",Neto,Philip Billing , 7,0.97 ,1.87 ,-0.89 ,0.18 
16, Nott'ham Forest 2022/2023,38,9,11,18,38,68,-30,38,1,39.3,64.2,-24.9,-0.66,"29,188",Dean Henderson,Taiwo Awoniyi , 10,1.00 ,1.79 ,-0.79 ,0.26 
17, Everton 2022/2023,38,8,12,18,34,57,-23,36,0.95,45.2,65.7,-20.5,-0.54,"39,243",Jordan Pickford,Dwight McNeil , 7,0.89 ,1.50 ,-0.61 ,0.18 
18, LeicesteCity 2022/2023,38,9,7,22,51,68,-17,34,0.89,50.6,63.4,-12.8,-0.34,"31,887",Danny Ward,Harvey Barnes , 13,1.34 ,1.79 ,-0.45 ,0.34 
19, Leeds United 2022/2023,38,7,10,21,48,78,-30,31,0.82,47.4,67.2,-19.8,-0.52,"36,566",Illan Meslier,Rodrigo , 13,1.26 ,2.05 ,-0.79 ,0.34 
20, Southampton 2022/2023,38,6,7,25,36,73,-37,25,0.66,37.7,61,-23.3,-0.61,"30,440",Gavin Bazunu,James Ward Prowse , 9,0.95 ,1.92 ,-0.97 ,0.24 
