Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Goalkeeper,Top Scorer,GF by Top Scorer,GF/90,GA/90,GD/90,GF by Top Scorer/90
14, Southampton 2012-2013,38,9,14,15,49,60,-11,41,1.08,0,0,0,0,"30,855",Artur Boruc,Rickie Lambert , 15,1.29 ,1.58 ,-0.29 ,0.39 
15, Aston Villa 2012-2013,38,10,11,17,47,69,-22,41,1.08,0,0,0,0,"35,060",Brad Guzan,Christian Benteke , 19,1.24 ,1.82 ,-0.58 ,0.50 
16, Newcastle Utd 2012-2013,38,11,8,19,45,68,-23,41,1.08,0,0,0,0,"50,517",Tim Krul,Demba Ba , 13,1.18 ,1.79 ,-0.61 ,0.34 
17, Sunderland 2012-2013,38,9,12,17,41,54,-13,39,1.03,0,0,0,0,"40,563",Simon Mignolet,Steven Fletcher , 11,1.08 ,1.42 ,-0.34 ,0.29 
18, Wigan Athletic 2012-2013,38,9,9,20,47,73,-26,36,0.95,0,0,0,0,"19,359",Ali Al Habsi,Arouna Koné , 11,1.24 ,1.92 ,-0.68 ,0.29 
19, Reading 2012-2013,38,6,10,22,43,73,-30,28,0.74,0,0,0,0,"23,862",Adam Federici,Adam le Fondre , 12,1.13 ,1.92 ,-0.79 ,0.32 
20, QPR 2012-2013,38,4,13,21,30,60,-30,25,0.66,0,0,0,0,"17,779",JúliCésar,Loïc Rémy , 6,0.79 ,1.58 ,-0.79 ,0.16 
1, ManchesteCity 2013/2014,38,27,5,6,102,37,65,86,2.26,0,0,0,0,"47,075",Joe Hart,Yaya Touré , 20,2.68 ,0.97 ,1.71 ,0.53 
2, Liverpool 2013/2014,38,26,6,6,101,50,51,84,2.21,0,0,0,0,"44,671",Simon Mignolet,Luis Suárez , 31,2.66 ,1.32 ,1.34 ,0.82 
3, Chelsea 2013/2014,38,25,7,6,71,27,44,82,2.16,0,0,0,0,"41,482",PetCech,Eden Hazard , 14,1.87 ,0.71 ,1.16 ,0.37 
4, Arsenal 2013/2014,38,24,7,7,68,41,27,79,2.08,0,0,0,0,"60,013",Wojciech Szczesny,Olivier Giroud , 16,1.79 ,1.08 ,0.71 ,0.42 
5, Everton 2013/2014,38,21,9,8,61,39,22,72,1.89,0,0,0,0,"37,732",Tim Howard,Romelu Lukaku , 15,1.61 ,1.03 ,0.58 ,0.39 
6, Tottenham 2013/2014,38,21,6,11,55,51,4,69,1.82,0,0,0,0,"35,808",Hugo Lloris,Emmanuel Adebayor , 11,1.45 ,1.34 ,0.11 ,0.29 
7, Manchester Utd 2013/2014,38,19,7,12,64,43,21,64,1.68,0,0,0,0,"75,207",David de Gea,Wayne Rooney , 17,1.68 ,1.13 ,0.55 ,0.45 
8, Southampton 2013/2014,38,15,11,12,54,46,8,56,1.47,0,0,0,0,"30,212",Artur Boruc,Jay Rodriguez , 15,1.42 ,1.21 ,0.21 ,0.39 
9, StokCity 2013/2014,38,13,11,14,45,52,-7,50,1.32,0,0,0,0,"26,137",Asmir Begovic,Charlie Adam , 8,1.18 ,1.37 ,-0.18 ,0.21 
